[rosmaster.main][INFO] 2025-08-11 15:26:50,627: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 15:26:50,627: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 15:26:50,629: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 15:26:50,629: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 15:26:50,630: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 15:26:50,630: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 15:26:50,644: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,649: +PARAM [/roslaunch/uris/host_localhost__39339] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,794: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,795: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,795: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,795: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,796: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,796: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,796: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,796: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,797: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,797: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,797: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,797: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,798: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,798: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,798: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,798: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:26:50,799: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
