[rosmaster.main][INFO] 2025-08-13 16:01:36,389: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 16:01:36,390: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 16:01:36,391: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 16:01:36,392: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 16:01:36,393: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 16:01:36,393: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 16:01:36,433: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,437: +PARAM [/roslaunch/uris/host_localhost__46025] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,544: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,545: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,545: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,545: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,545: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,546: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,546: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,546: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,546: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,547: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,547: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,547: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,547: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,547: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,548: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,548: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,550: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,550: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:01:36,550: +PARAM [/rosapi/topics_glob] by /roslaunch
